id,max_x,max_y,max_z,min_x,min_y,min_z,mean_x,mean_y,mean_z,var_x,var_y,var_z,activity,isFall
112,0.128,-0.928,0,0.096,-1.024,-0.064,0.10206315789473691,-0.9599999999999986,-0.03570526315789476,0.0001572591689750693,6.467368421052629e-05,0.00014795523545706367,Stand Still,0
113,0.128,-0.928,0,0.096,-1.024,-0.064,0.10108411214953278,-0.9602990654205589,-0.03469158878504675,0.00013684339243602087,6.69012140798325e-05,0.00011716656476548139,Stand Still,0
114,0.128,-0.928,0,0.096,-0.992,-0.064,0.10026666666666674,-0.9593904761904745,-0.03443809523809527,0.00011832888888888909,3.8638004535147355e-05,9.157950113378673e-05,Stand Still,0
115,0.128,-0.928,0,0.096,-0.96,-0.064,0.09962264150943403,-0.9587924528301869,-0.03954716981132078,0.00010280099679601273,3.718333926664282e-05,0.00020387041651833394,Stand Still,0
116,0.128,-0.928,-0.032,0.096,-0.96,-0.064,0.09885714285714294,-0.9591428571428551,-0.040857142857142884,8.326530612244895e-05,2.669387755102022e-05,0.00020497959183673442,Stand Still,0
117,0.128,-0.928,-0.032,0.096,-0.96,-0.064,0.09737931034482766,-0.9591724137931013,-0.03834482758620692,4.223543400713447e-05,2.579785969084413e-05,0.00016277764565992889,Stand Still,0
118,0.128,-0.928,-0.032,0.064,-0.992,-0.064,0.0966336633663367,-0.9593663366336617,-0.04752475247524756,4.015292618370749e-05,4.015292618370731e-05,0.0002557741397902168,Stand Still,0
119,2.5286411841543743,2.3115551578311293,2.0910485903017886,-2.540809309603726,-3.3709103848098954,-2.8591251097047774,-0.17932117031335496,-0.9634870541364967,-0.19733990094027773,1.253078528619707,1.0635903530839421,0.9907367917355822,Fall,1
120,2.223638350839664,1.69109322537276,2.249017996226748,-2.3450566740900936,-3.926619244922932,-2.219709271975213,0.20052857487756368,-1.0419770301771032,0.18678537164231615,0.8701224487937305,1.2869816396535338,0.7809851147516065,Fall,1
121,2.03303156401637,0.810275181621692,3.4585720210254745,-2.607740360666843,-3.734717103608263,-2.3979142783678697,0.09600321710050239,-1.0637891064943332,-0.220204470322527,1.1326935434104952,1.0532624774449795,1.39700057358966,Fall,1
122,2.486601490480709,1.617757181695128,3.3188407354174916,-2.165793274307427,-3.420428414182554,-2.730453186083475,-0.02912641088773892,-0.942023061959905,0.07380667726681613,0.7924683519856859,1.3191498673891213,1.2074820014555103,Fall,1
123,3.3178795255228715,1.4704169696551195,2.2108901200209647,-2.6910719412626882,-3.2671709055031344,-2.212785632857133,-0.07436054189471962,-0.9897954834697654,-0.06363616666150598,1.4539599059795973,0.9645347991137603,0.8151124818155598,Fall,1
124,2.6237409572408263,1.401788626599954,2.3448875886752196,-2.511705820820697,-3.885870015626558,-2.021318334949936,0.13452226814409818,-0.8968177817661317,0.03794752402669014,0.9709520503650209,1.060175304385743,0.7912960440078021,Fall,1
125,2.0842684126871824,1.5065194248209872,2.1100452425500724,-3.195280199153803,-3.7320182760283074,-2.5906983470683502,-0.2663955568999806,-1.1764921035333595,-0.1271604158383574,0.7407917170782785,0.9925151255397461,1.1274617972021712,Fall,1
126,2.8776326619852672,1.9684419410649383,2.037923373289143,-1.7028510941297677,-3.363891039572771,-3.3815909186102004,0.17451808984445874,-0.8320396089763392,-0.15876253091263806,1.1101933273030513,1.1494903647091792,1.485920261679679,Fall,1
127,2.6207799019389375,1.140666015131563,2.9730010317134634,-2.0055475731280668,-3.3683543204800412,-2.126755026673986,0.11409882367105269,-0.9991103077496947,0.013415183900274453,0.9602008402886535,0.9739720431728477,1.0939640658364602,Fall,1
128,2.831949208530997,1.3466634041800583,2.065655795883236,-2.1132439612623135,-3.59824460021152,-2.3435324823234702,-0.004916977306388077,-1.0608465497961463,-0.17955157273004843,1.1698066406941516,1.1614810070747963,0.8775823445322749,Fall,1
129,0.192,-0.768,0.288,0,-1.056,-0.256,0.02297435897435898,-0.9357948717948715,-0.11117948717948725,0.0019402813938198553,0.001580265614727153,0.007265788297172914,Fall,1
130,2.0794005913559026,1.6976876800878928,1.9309533187263912,-2.0520277139020013,-2.509483721691615,-1.5123241929896551,-0.1696970032724185,-0.5820406046148068,-0.14255723282884705,0.9270813675541938,0.9439075250088119,0.598931159857399,Fall,1
